tweet,Emotion
silkboard traffic will be the death of me,Fear
the capital of traffic in bangalore silk board is missed in this reels i strongly condemn this baava silkboard,Sad
suryapsingh32 satishacharya fix your traffic first before talking about hyderabad we can cross entire telangana,Angry
those who always crack silkboard traffic jokes they never lived in a city called mumbai,Happy
in bangalore who is richer than ceo the average traffic police,Fear
vandanajain this is precisely what bangalore people would not be caught dead doing you can move here find a j,Happy
i need help narendramodi pmoindia bangalore commissioner police bangalore traffic commissioner police,Happy
vinodblru rajdugar dyamannavar anil lulla swrrly southernrailway christinmp toi captsanthoshkc,Happy
bangaloretrafficpolice bangaloretraffic in bangalore most places no entry sign is either placed so high or hidd,Fear
just returning back from bangalore post a 3 weeks live project stint mobility is a very big issue out there beyond,Happy
bangaloremirror intresting hope it s implemented on ground responsibly hope bangalore traffic officers rise to th,Fear
bangalore without a long traffic jam is heaven,Surprise
actually not road tax is the highest in bangalore and the worst roads are also in bangalore my father died in,Sad
me and rapido anna discussing stock markets government system we call it job life rich and poor metro traffi,Fear
bangalore is bad in traffic terms people say people lack basic civic sense of parking their vehicles properly in pa,Happy
bsbommai bbmpcomm this is what a city admin needs to do to ease traffic congestion in bangalore instead you upr,Fear
ibeingaman stuck in bangalore traffic mummy scolding me for using my mobile and i love sidnaaz so much i stay,Happy
ooty because to get freedom of driving from bangalore traffic amp enjoying pollution free environment,Fear
a clip from the live coverage where i got the opportunity to speak briefly during live coverage for bangalore traff,Fear
hondacarindia ooty because to get freedom of driving from bangalore traffic amp enjoying pollution free envir,Happy
the other side of h s prasad giving back to society only to receive more encouragement to give back more and more,Surprise
eriksolheim u travel last 80km from bangalore to chennai 4 lane highway its totally pathetic for years an,Sad
bangalore traffic has facilitated marriage breakup and now i am witnessing settling of old scores bus driver,Angry
amitabhk87 morthindia sir ye silver county road aur hosa road bangalore kayn banwayega where 10000s of people g,Happy
you said it right i have personally experienced can t compare to north cities bangalore is best in all the ways ex,Happy
cloud traffic seems to be very common in bangalore sky,Sad
